Detector, Descriptor, Image id, No keypoints, No keypoints on preceding vehicle, No matched keypoints, Keypoint detection time (ms), Descriptor extraction time (ms), Matching time (ms)
HARRIS,ORB,6,85,18,18,22.2545,10.8951,0.1536
HARRIS,ORB,7,210,31,15,25.0025,5.1408,0.1164
HARRIS,ORB,8,171,26,24,22.8972,6.2065,0.1254
HARRIS,ORB,9,281,34,20,36.9157,9.4227,0.134
HARRIS,FREAK,0,115,17,0,20.8537,71.8876,0
HARRIS,FREAK,1,98,14,13,19.1327,63.8834,0.1109
HARRIS,FREAK,2,113,18,13,21.3703,66.8067,0.1258
HARRIS,FREAK,3,121,21,15,27.9101,79.5608,0.1082
HARRIS,FREAK,4,160,26,15,20.1495,68.2274,0.1294
HARRIS,FREAK,5,383,43,17,48.0547,70.3903,0.1115
HARRIS,FREAK,6,85,18,20,17.9805,61.8824,0.1372
HARRIS,FREAK,7,210,31,14,23.4625,57.1318,0.1053
HARRIS,FREAK,8,171,26,21,26.3354,66.8079,0.1149
HARRIS,FREAK,9,281,34,18,32.9647,64.1058,0.1125
HARRIS,SIFT,0,115,17,0,19.802,25.6398,0
HARRIS,SIFT,1,98,14,14,25.0593,24.7394,0.1132
HARRIS,SIFT,2,113,18,11,19.1614,21.9716,0.054
HARRIS,SIFT,3,121,21,16,21.2947,21.7145,0.067
HARRIS,SIFT,4,160,26,19,25.069,21.9394,0.0572
HARRIS,SIFT,5,383,43,22,55.724,22.9065,0.0671
HARRIS,SIFT,6,85,18,22,19.227,39.0198,0.2867
HARRIS,SIFT,7,210,31,13,33.9668,33.6361,0.0637
HARRIS,SIFT,8,171,26,24,30.3193,26.7635,0.0754
HARRIS,SIFT,9,281,34,22,36.1809,34.2622,0.0837
FAST,BRISK,0,1824,149,0,2.7547,2.2352,0
FAST,BRISK,1,1832,152,97,1.8401,2.0678,0.3212
FAST,BRISK,2,1810,152,103,1.6613,2.0679,0.2676
FAST,BRISK,3,1817,157,104,1.6015,2.0778,0.279
FAST,BRISK,4,1793,149,98,1.6335,1.9502,0.2758
FAST,BRISK,5,1796,150,86,1.5327,3.0986,0.27
FAST,BRISK,6,1788,157,108,1.5603,2.2184,0.2435
FAST,BRISK,7,1695,152,108,1.4423,1.9763,0.3376
FAST,BRISK,8,1749,139,100,1.4621,1.7752,0.2622
FAST,BRISK,9,1770,144,100,1.4032,2.2863,0.2684
FAST,BRIEF,0,1824,149,0,1.7432,0.8565,0
FAST,BRIEF,1,1832,152,119,1.7821,1.05,0.5901
FAST,BRIEF,2,1810,152,129,1.8879,1.276,0.3078
FAST,BRIEF,3,1817,157,122,1.7757,1.0179,0.3134
FAST,BRIEF,4,1793,149,126,2.4953,0.9087,0.3773
FAST,BRIEF,5,1796,150,109,1.7391,1.3574,0.2889
FAST,BRIEF,6,1788,157,124,1.9265,0.9114,0.4322
FAST,BRIEF,7,1695,152,132,1.805,0.9464,0.2964
FAST,BRIEF,8,1749,139,125,1.8519,0.847,0.2847
FAST,BRIEF,9,1770,144,120,2.2312,1.1137,0.2651
FAST,ORB,0,1824,149,0,1.9892,5.1932,0
FAST,ORB,1,1832,152,122,1.8614,5.1772,0.2969
FAST,ORB,2,1810,152,123,1.8587,5.0772,0.3131
FAST,ORB,3,1817,157,119,1.8697,6.0033,0.3057
FAST,ORB,4,1793,149,129,1.8913,5.1322,0.3359
FAST,ORB,5,1796,150,108,1.7312,4.8355,0.2668
FAST,ORB,6,1788,157,121,2.4802,5.1116,0.2804
FAST,ORB,7,1695,152,127,1.8262,5.0757,0.2812
FAST,ORB,8,1749,139,122,1.8499,5.9252,0.3747
FAST,ORB,9,1770,144,119,1.835,4.9868,0.2764
FAST,FREAK,0,1824,149,0,1.6913,51.4726,0
FAST,FREAK,1,1832,152,97,1.8136,52.153,0.3199
FAST,FREAK,2,1810,152,99,1.8793,60.6467,0.3345
FAST,FREAK,3,1817,157,96,1.8739,53.4651,0.2779
FAST,FREAK,4,1793,149,99,1.78,51.2993,0.3234
FAST,FREAK,5,1796,150,89,1.6589,53.6114,0.2596
FAST,FREAK,6,1788,157,100,1.6584,49.7209,0.2652
FAST,FREAK,7,1695,152,105,1.65,60.4048,0.31
FAST,FREAK,8,1749,139,99,1.7008,50.7701,0.287
FAST,FREAK,9,1770,144,103,1.6251,53.4997,0.259
FAST,SIFT,0,1824,149,0,3.2065,22.7442,0
FAST,SIFT,1,1832,152,118,1.7987,24.2304,0.3161
FAST,SIFT,2,1810,152,122,2.0518,22.4085,0.3518
FAST,SIFT,3,1817,157,114,1.9762,34.7204,0.5049
FAST,SIFT,4,1793,149,120,2.0386,26.0226,0.3068
FAST,SIFT,5,1796,150,115,1.7806,23.7064,0.3302
FAST,SIFT,6,1788,157,119,2.1489,22.9843,0.413
FAST,SIFT,7,1695,152,124,2.0974,25.2613,0.4113
FAST,SIFT,8,1749,139,118,2.0008,25.6041,0.4472
FAST,SIFT,9,1770,144,104,2.1308,28.036,0.4763
BRISK,BRISK,0,2757,254,0,86.329,3.5627,0
BRISK,BRISK,1,2777,274,168,85.7482,3.9906,0.5199
BRISK,BRISK,2,2741,276,169,59.5253,3.6924,0.541
BRISK,BRISK,3,2735,275,157,49.9027,3.4929,0.5144
BRISK,BRISK,4,2757,293,170,48.91,3.5949,0.4983
BRISK,BRISK,5,2695,275,171,46.0155,3.2706,0.4779
BRISK,BRISK,6,2715,289,186,77.1418,4.8801,0.6898
BRISK,BRISK,7,2628,268,174,71.8102,4.1041,0.7009
BRISK,BRISK,8,2639,260,168,53.4449,3.5204,0.4949
BRISK,BRISK,9,2672,250,182,56.8437,3.5132,0.4824
BRISK,BRIEF,0,2757,254,0,56.2194,1.2377,0
BRISK,BRIEF,1,2777,274,174,94.3469,1.7317,0.8496
BRISK,BRIEF,2,2741,276,195,110.853,2.0904,0.9106
BRISK,BRIEF,3,2735,275,182,56.5004,1.3139,0.5638
BRISK,BRIEF,4,2757,293,177,53.3488,1.1625,0.5416
BRISK,BRIEF,5,2695,275,182,43.849,1.0088,0.4642
BRISK,BRIEF,6,2715,289,193,42.2769,1.0984,0.4485
BRISK,BRIEF,7,2628,268,208,41.4058,0.983,0.444
BRISK,BRIEF,8,2639,260,186,42.219,0.9468,0.4006
BRISK,BRIEF,9,2672,250,179,40.4471,0.8967,0.375
BRISK,ORB,0,2757,254,0,44.6931,15.8158,0
BRISK,ORB,1,2777,274,153,49.4085,14.9347,0.4171
BRISK,ORB,2,2741,276,164,45.8326,14.8311,0.5472
BRISK,ORB,3,2735,275,155,45.8722,15.2899,0.4459
BRISK,ORB,4,2757,293,165,44.8908,15.3009,0.6713
BRISK,ORB,5,2695,275,150,44.5437,13.4492,0.4306
BRISK,ORB,6,2715,289,179,41.8383,13.775,0.4441
BRISK,ORB,7,2628,268,169,44.1931,14.1001,0.4563
BRISK,ORB,8,2639,260,174,43.4487,13.5422,0.3992
BRISK,ORB,9,2672,250,171,43.4409,15.1209,0.4302
BRISK,FREAK,0,2757,254,0,50.3924,44.9772,0
BRISK,FREAK,1,2777,274,154,57.9414,50.5587,0.506
BRISK,FREAK,2,2741,276,173,50.5354,45.055,0.5262
